Policy,Protocol,MessageSizeKB,TransferTimeSeconds,ThroughputKbps
RR,tcp,1,0.000101833,78560
RR,tcp,1,0.000105083,76130.3
RR,tcp,1,9.8417e-05,81286.8
RR,tcp,1,0.000102042,78399.1
RR,tcp,1,0.000112417,71163.6
RR,tcp,1,8.3792e-05,95474.5
RR,tcp,1,8.5667e-05,93384.9
RR,tcp,1,7.7375e-05,103393
RR,tcp,1,8.2291e-05,97216
RR,tcp,1,7.7917e-05,102673
RR,tcp,1,8.05e-05,99378.9
RR,tcp,1,8.8084e-05,90822.4
RR,tcp,1,7.9125e-05,101106
RR,tcp,1,7.5917e-05,105378
RR,tcp,1,8.4417e-05,94767.6
RR,tcp,1,7.6917e-05,104008
RR,tcp,1,7.875e-05,101587
RR,tcp,1,7.6917e-05,104008
RR,tcp,1,8.0375e-05,99533.4
RR,tcp,1,8.7708e-05,91211.7
RR,tcp,1,8.8166e-05,90737.9
RR,tcp,1,9.4458e-05,84693.7
RR,tcp,1,9.0125e-05,88765.6
RR,tcp,1,8.6708e-05,92263.7
RR,tcp,1,9.7459e-05,82085.8
RR,tcp,1,9.0042e-05,88847.4
RR,tcp,1,9.1666e-05,87273.4
RR,tcp,1,0.000119083,67180
RR,tcp,1,0.000113125,70718.2
RR,tcp,1,0.000116209,68841.5
RR,tcp,1,0.000110417,72452.6
RR,tcp,1,0.000116291,68792.9
RR,tcp,1,8.8541e-05,90353.6
RR,tcp,1,0.000111291,71883.6
RR,tcp,1,0.000113791,70304.3
RR,tcp,1,0.000120792,66229.6
RR,tcp,1,0.000108125,73988.4
RR,tcp,1,0.000124125,64451.2
RR,tcp,1,0.000105333,75949.6
RR,tcp,1,8.0791e-05,99020.9
RR,tcp,1,6.4417e-05,124191
RR,tcp,1,8.5083e-05,94025.8
RR,tcp,1,0.000108791,73535.5
RR,tcp,1,8.9125e-05,89761.6
RR,tcp,1,6.9292e-05,115453
RR,tcp,1,5.1708e-05,154715
RR,tcp,1,7.1208e-05,112347
RR,tcp,1,7.9875e-05,100156
RR,tcp,1,9.125e-05,87671.2
RR,tcp,1,5.0375e-05,158809
RR,tcp,1,5.8875e-05,135881
RR,tcp,1,4.8666e-05,164386
RR,tcp,1,5.9375e-05,134737
RR,tcp,1,4.725e-05,169312
RR,tcp,1,8.5542e-05,93521.3
RR,tcp,1,4.35e-05,183908
RR,tcp,1,6.7e-05,119403
RR,tcp,1,5.1583e-05,155090
RR,tcp,1,6.3292e-05,126398
RR,tcp,1,9.3458e-05,85599.9
RR,tcp,1,7.3375e-05,109029
RR,tcp,1,5.1667e-05,154838
RR,tcp,1,8.2667e-05,96773.8
RR,tcp,1,4.4709e-05,178935
RR,tcp,1,7.8667e-05,101694
RR,tcp,1,5.2667e-05,151898
RR,tcp,1,6.3292e-05,126398
RR,tcp,1,3.9375e-05,203175
RR,tcp,1,0.000103709,77138.9
RR,tcp,1,4.9583e-05,161346
RR,tcp,1,8.2083e-05,97462.3
RR,tcp,1,5.4333e-05,147240
RR,tcp,1,6.4459e-05,124110
RR,tcp,1,6.7083e-05,119255
RR,tcp,1,7.1875e-05,111304
RR,tcp,1,4.6583e-05,171736
RR,tcp,1,6.8708e-05,116435
RR,tcp,1,6.2e-05,129032
RR,tcp,1,6.4417e-05,124191
RR,tcp,1,6.0916e-05,131328
RR,tcp,1,5.9208e-05,135117
RR,tcp,1,7.0041e-05,114219
RR,tcp,1,6.5e-05,123077
RR,tcp,1,5.8375e-05,137045
RR,tcp,1,5.7041e-05,140250
RR,tcp,1,6.2917e-05,127152
RR,tcp,1,8.1166e-05,98563.4
RR,tcp,1,7.2583e-05,110219
RR,tcp,1,5.2333e-05,152867
RR,tcp,1,5.0917e-05,157118
