Policy,Protocol,MessageSizeKB,TransferTimeSeconds,ThroughputKbps
FCFS,tcp,1,0.000110334,72507.1
FCFS,tcp,1,0.000118792,67344.6
FCFS,tcp,1,0.00011325,70640.2
FCFS,tcp,1,0.000106375,75205.6
FCFS,tcp,1,0.000108708,73591.6
FCFS,tcp,1,0.000107292,74562.9
FCFS,tcp,1,0.000115291,69389.6
FCFS,tcp,1,0.000103833,77046.8
FCFS,tcp,1,9.8625e-05,81115.3
FCFS,tcp,1,0.000116584,68620.1
FCFS,tcp,1,0.000108125,73988.4
FCFS,tcp,1,0.000102208,78271.8
FCFS,tcp,1,9.9417e-05,80469.1
FCFS,tcp,1,0.000129084,61975.1
FCFS,tcp,1,0.00010175,78624.1
FCFS,tcp,1,0.000113834,70277.8
FCFS,tcp,1,0.000118375,67581.8
FCFS,tcp,1,0.000101917,78495.2
FCFS,tcp,1,8.9084e-05,89802.9
FCFS,tcp,1,9.6667e-05,82758.3
FCFS,tcp,1,0.000124583,64214.2
FCFS,tcp,1,0.000119958,66690
FCFS,tcp,1,0.000105792,75620.1
FCFS,tcp,1,0.000116833,68473.8
FCFS,tcp,1,0.000105166,76070.2
FCFS,tcp,1,0.000116625,68595.9
FCFS,tcp,1,0.000115542,69238.9
FCFS,tcp,1,0.000118542,67486.6
FCFS,tcp,1,0.000120583,66344.3
FCFS,tcp,1,9.7625e-05,81946.2
FCFS,tcp,1,0.000105834,75590.1
FCFS,tcp,1,9.2708e-05,86292.4
FCFS,tcp,1,0.000102958,77701.6
FCFS,tcp,1,0.00011425,70021.9
FCFS,tcp,1,0.000119291,67062.9
FCFS,tcp,1,0.00011475,69716.8
FCFS,tcp,1,0.00011425,70021.9
FCFS,tcp,1,0.000118292,67629.3
FCFS,tcp,1,0.000131208,60971.9
FCFS,tcp,1,0.000109416,73115.4
FCFS,tcp,1,0.000129583,61736.5
FCFS,tcp,1,8.2958e-05,96434.3
FCFS,tcp,1,0.000119625,66875.7
FCFS,tcp,1,0.000117583,68037
FCFS,tcp,1,5.6416e-05,141804
FCFS,tcp,1,0.00012375,64646.5
FCFS,tcp,1,9.1042e-05,87871.5
FCFS,tcp,1,0.000115208,69439.6
FCFS,tcp,1,8.4167e-05,95049.1
FCFS,tcp,1,0.000111,72072.1
FCFS,tcp,1,0.000106833,74883.2
FCFS,tcp,1,0.000100584,79535.5
FCFS,tcp,1,0.000111084,72017.6
FCFS,tcp,1,0.000112166,71322.9
FCFS,tcp,1,0.000112542,71084.6
FCFS,tcp,1,0.00011575,69114.5
FCFS,tcp,1,0.000118,67796.6
FCFS,tcp,1,0.000103792,77077.2
FCFS,tcp,1,0.00011975,66805.8
FCFS,tcp,1,7.6084e-05,105147
FCFS,tcp,1,5.8833e-05,135978
FCFS,tcp,1,5.8125e-05,137634
FCFS,tcp,1,7.8834e-05,101479
FCFS,tcp,1,7.7625e-05,103060
FCFS,tcp,1,5.6709e-05,141071
FCFS,tcp,1,5.4e-05,148148
FCFS,tcp,1,6.8417e-05,116930
FCFS,tcp,1,7.6125e-05,105090
FCFS,tcp,1,3.525e-05,226950
FCFS,tcp,1,4.5458e-05,175987
FCFS,tcp,1,5.825e-05,137339
FCFS,tcp,1,8.1584e-05,98058.4
FCFS,tcp,1,7.1e-05,112676
FCFS,tcp,1,5.8625e-05,136461
FCFS,tcp,1,6.3333e-05,126316
FCFS,tcp,1,8.75e-05,91428.6
FCFS,tcp,1,7.9e-05,101266
FCFS,tcp,1,6.5541e-05,122061
FCFS,tcp,1,7.6292e-05,104860
FCFS,tcp,1,8.9917e-05,88970.9
FCFS,tcp,1,4.9541e-05,161482
FCFS,tcp,1,9.9583e-05,80335
FCFS,tcp,1,7.9708e-05,100366
FCFS,tcp,1,7.2208e-05,110791
FCFS,tcp,1,7.3916e-05,108231
FCFS,tcp,1,7.5083e-05,106549
FCFS,tcp,1,7.7292e-05,103504
FCFS,tcp,1,5.8792e-05,136073
FCFS,tcp,1,6.6459e-05,120375
FCFS,tcp,1,6.1208e-05,130702
FCFS,tcp,1,6.9875e-05,114490
FCFS,tcp,1,9.0125e-05,88765.6
FCFS,tcp,1,6.8417e-05,116930
FCFS,tcp,1,6.7458e-05,118592
FCFS,tcp,1,6.8375e-05,117002
FCFS,tcp,1,3.3166e-05,241211
FCFS,tcp,1,6.7292e-05,118885
FCFS,tcp,1,6.4625e-05,123791
FCFS,tcp,1,6.9792e-05,114626
FCFS,tcp,1,4.9458e-05,161753
FCFS,tcp,1,8.6959e-05,91997.4
FCFS,tcp,1,5.1916e-05,154095
FCFS,tcp,1,6.8709e-05,116433
FCFS,tcp,1,4.9209e-05,162572
FCFS,tcp,1,6.7125e-05,119181
FCFS,tcp,1,4.9625e-05,161209
FCFS,tcp,1,5.9083e-05,135403
FCFS,tcp,1,2.8541e-05,280299
FCFS,tcp,1,7.3875e-05,108291
FCFS,tcp,1,5.1041e-05,156737
FCFS,tcp,1,7.1708e-05,111564
FCFS,tcp,1,5.0083e-05,159735
FCFS,tcp,1,8.2875e-05,96530.9
FCFS,tcp,1,7.725e-05,103560
FCFS,tcp,1,6.8958e-05,116013
FCFS,tcp,1,7.6375e-05,104746
FCFS,tcp,1,6.3083e-05,126817
FCFS,tcp,1,5.6417e-05,141801
FCFS,tcp,1,0.000171959,46522.7
FCFS,tcp,1,5.5792e-05,143390
FCFS,tcp,1,6.1333e-05,130435
FCFS,tcp,1,0.000103166,77544.9
FCFS,tcp,1,9.6292e-05,83080.6
FCFS,tcp,1,6.0041e-05,133242
FCFS,tcp,1,5.5708e-05,143606
FCFS,tcp,1,7.0792e-05,113007
FCFS,tcp,1,5.6417e-05,141801
FCFS,tcp,1,7.2708e-05,110029
FCFS,tcp,1,7.2791e-05,109904
FCFS,tcp,1,4.8125e-05,166234
FCFS,tcp,1,6.6125e-05,120983
FCFS,tcp,1,6.25e-05,128000
FCFS,tcp,1,7.3209e-05,109276
FCFS,tcp,1,8.1584e-05,98058.4
FCFS,tcp,1,7.0084e-05,114149
FCFS,tcp,1,8.0667e-05,99173.1
FCFS,tcp,1,5.4084e-05,147918
FCFS,tcp,1,6.9917e-05,114421
FCFS,tcp,1,8.1416e-05,98260.8
FCFS,tcp,1,6.6417e-05,120451
FCFS,tcp,1,5.9042e-05,135497
FCFS,tcp,1,6.8292e-05,117144
FCFS,tcp,1,8.1792e-05,97809.1
FCFS,tcp,1,7.8583e-05,101803
FCFS,tcp,1,7.9e-05,101266
FCFS,tcp,1,5.25e-05,152381
FCFS,tcp,1,5.1208e-05,156226
FCFS,tcp,1,6.05e-05,132231
FCFS,tcp,1,7.4084e-05,107986
FCFS,tcp,1,5.9625e-05,134172
FCFS,tcp,1,7.275e-05,109966
FCFS,tcp,1,5.2042e-05,153722
FCFS,tcp,1,5.5833e-05,143284
FCFS,tcp,1,6.2167e-05,128686
FCFS,tcp,1,5.875e-05,136170
FCFS,tcp,1,6.5e-05,123077
FCFS,tcp,1,9.775e-05,81841.4
FCFS,tcp,1,7.0541e-05,113409
FCFS,tcp,1,5.2458e-05,152503
